key,label,mode,node_count,es_count,source_file,request_ingress_ms,consensus_coordination_ms,external_service_access_ms,on_chain_commit_ms,stage_sum_ms,total_e2e_ms,worker_node_count
snss_es1,"SNSS
ES=1",SNSS,1,1,snss_es1_stage_stats_30_summary.csv,8.566666666666666,0.0,4.366666666666666,338.5,351.43333333333334,450.8666666666667,1.0
snms_es7,"SNMS
ES=7",SNMS,1,7,snms_es7_stage_stats_30_summary.csv,18.866666666666667,0.0,39.9,324.03333333333336,382.8,525.1333333333333,1.0
mnss_n4_es1,"MNSS
N=4, ES=1",MNSS,4,1,mnss_n4_es1_stage_stats_30_summary.csv,8.4,15.9,4.333333333333333,320.8,349.43333333333334,429.06666666666666,4.0
mnss_n8_es1,"MNSS
N=8, ES=1",MNSS,8,1,mnss_n8_es1_stage_stats_30_summary.csv,7.166666666666667,24.166666666666668,74.0,337.53333333333336,442.8666666666667,446.96666666666664,8.0
mnss_n16_es1,"MNSS
N=16, ES=1",MNSS,16,1,mnss_n16_es1_stage_stats_30_summary.csv,7.033333333333333,51.96666666666667,202.46666666666667,368.76666666666665,630.2333333333333,511.5,16.0
mnss_n32_es1,"MNSS
N=32, ES=1",MNSS,32,1,mnss_n32_es1_stage_stats_30_summary.csv,7.8,113.96666666666667,334.3333333333333,383.03333333333336,839.1333333333333,598.1333333333333,32.0
mnms_n4_es7,"MNMS
N=4, ES=7",MNMS,4,7,mnms_n4_es7_stage_stats_30_summary.csv,9.066666666666666,117.86666666666666,51.7,318.9,497.5333333333333,549.6,4.0
mnms_n8_es7,"MNMS
N=8, ES=7",MNMS,8,7,mnms_n8_es7_stage_stats_30_summary.csv,7.633333333333334,114.73333333333333,30.233333333333334,367.7,520.3,598.2666666666667,8.0
mnms_n16_es7,"MNMS
N=16, ES=7",MNMS,16,7,mnms_n16_es7_stage_stats_30_summary.csv,8.566666666666666,211.8,352.0,369.8,942.1666666666667,687.4333333333333,16.0
mnms_n32_es7,"MNMS
N=32, ES=7",MNMS,32,7,mnms_n32_es7_stage_stats_30_summary.csv,7.5,286.8666666666667,453.76666666666665,398.93333333333334,1147.0666666666666,828.4333333333333,32.0
